receiver_index,sensor_x_px,sensor_y_px,source_x_px,source_y_px,distance_m,t_direct_s,t_direct_ns,source_center_time_s,source_center_time_ns,margin_time_s,margin_time_ns,gate_time_s,gate_time_ns,estimated_gate_index,estimated_dt_ns,estimated_total_time_ns
0,12,1,64,1,0.00026,3.083125815249614e-08,30.83125815249614,3.36e-08,33.6,1e-08,10.0,7.443125815249614e-08,74.43125815249614,627,0.11858176212498517,119.99999999999999
1,18,1,64,1,0.00022999999999999998,2.7273805288746587e-08,27.273805288746587,3.36e-08,33.6,1e-08,10.0,7.08738052887466e-08,70.8738052887466,597,0.11858176212498517,119.99999999999999
2,25,1,64,1,0.00019499999999999997,2.3123443614372105e-08,23.123443614372103,3.36e-08,33.6,1e-08,10.0,6.672344361437211e-08,66.7234436143721,562,0.11858176212498517,119.99999999999999
3,32,1,64,1,0.00015999999999999999,1.8973081939997626e-08,18.973081939997627,3.36e-08,33.6,1e-08,10.0,6.257308193999762e-08,62.57308193999762,527,0.11858176212498517,119.99999999999999
4,39,1,64,1,0.000125,1.4822720265623148e-08,14.822720265623149,3.36e-08,33.6,1e-08,10.0,5.842272026562315e-08,58.42272026562315,492,0.11858176212498517,119.99999999999999
5,46,1,64,1,8.999999999999999e-05,1.0672358591248665e-08,10.672358591248665,3.36e-08,33.6,1e-08,10.0,5.4272358591248664e-08,54.27235859124866,457,0.11858176212498517,119.99999999999999
6,53,1,64,1,5.4999999999999995e-05,6.5219969168741845e-09,6.521996916874184,3.36e-08,33.6,1e-08,10.0,5.012199691687419e-08,50.12199691687419,422,0.11858176212498517,119.99999999999999
7,60,1,64,1,1.9999999999999998e-05,2.371635242499703e-09,2.3716352424997034,3.36e-08,33.6,1e-08,10.0,4.5971635242499705e-08,45.97163524249971,387,0.11858176212498517,119.99999999999999
8,66,1,64,1,9.999999999999999e-06,1.1858176212498516e-09,1.1858176212498517,3.36e-08,33.6,1e-08,10.0,4.4785817621249856e-08,44.785817621249855,377,0.11858176212498517,119.99999999999999
9,73,1,64,1,4.4999999999999996e-05,5.336179295624333e-09,5.336179295624333,3.36e-08,33.6,1e-08,10.0,4.893617929562434e-08,48.93617929562434,412,0.11858176212498517,119.99999999999999
10,80,1,64,1,7.999999999999999e-05,9.486540969998813e-09,9.486540969998813,3.36e-08,33.6,1e-08,10.0,5.3086540969998814e-08,53.086540969998815,447,0.11858176212498517,119.99999999999999
11,87,1,64,1,0.00011499999999999999,1.3636902644373294e-08,13.636902644373293,3.36e-08,33.6,1e-08,10.0,5.72369026443733e-08,57.2369026443733,482,0.11858176212498517,119.99999999999999
12,94,1,64,1,0.00015,1.7787264318747776e-08,17.787264318747777,3.36e-08,33.6,1e-08,10.0,6.138726431874777e-08,61.387264318747775,517,0.11858176212498517,119.99999999999999
13,101,1,64,1,0.000185,2.193762599312226e-08,21.937625993122257,3.36e-08,33.6,1e-08,10.0,6.553762599312226e-08,65.53762599312226,552,0.11858176212498517,119.99999999999999
14,108,1,64,1,0.00021999999999999998,2.6087987667496738e-08,26.087987667496737,3.36e-08,33.6,1e-08,10.0,6.968798766749674e-08,69.68798766749674,587,0.11858176212498517,119.99999999999999
15,115,1,64,1,0.00025499999999999996,3.023834934187122e-08,30.238349341871217,3.36e-08,33.6,1e-08,10.0,7.383834934187122e-08,73.83834934187122,622,0.11858176212498517,119.99999999999999
