file_pattern,representation_name,data_type,row_index_meaning,column_index_meaning,value_meaning,typical_shape,units,for_ml,description
sample_0000_traces.csv,Forward measured traces,time-series matrix,time index n,measurement channel name src_XX_rx_YY,recorded acoustic amplitude at receiver YY from source XX,Nt x Nr (current setup: Nt x 16),simulation amplitude units,yes,Main measured data before time reversal. Each column is one receiver trace.
sample_0000_target.csv,Binary target mask,2D image/matrix,depth pixel y,lateral pixel x,"0 = healthy region, 1 = defect region",Ny x Nx,dimensionless,yes (label),Ground-truth defect mask used as label for localization or segmentation.
sample_0000_sound_speed.csv,Sound-speed map,2D image/matrix,depth pixel y,lateral pixel x,"local acoustic wave speed c(x,y)",Ny x Nx,m/s,optional,Physical medium map used by the simulator.
sample_0000_density.csv,Density map,2D image/matrix,depth pixel y,lateral pixel x,"local material density rho(x,y)",Ny x Nx,kg/m^3,optional,Material density distribution used in the simulation.
sample_0000_attenuation.csv,Attenuation map,2D image/matrix,depth pixel y,lateral pixel x,local attenuation coefficient,Ny x Nx,Np/m (synthetic model units),optional,Synthetic attenuation distribution used by the simulator.
sample_0000_refocus.csv,TRM max map,2D image/matrix,depth pixel y,lateral pixel x,"max_t |p_TR(x,y,t)|",Ny x Nx,simulation amplitude units,yes,Raw numerical time-reversal maximum-amplitude map.
sample_0000_trm_energy.csv,TRM energy map,2D image/matrix,depth pixel y,lateral pixel x,"sum_t |p_TR(x,y,t)|^2",Ny x Nx,simulation energy-like units,yes,Integrated TRM energy representation.
sample_0000_refocus_log.csv,TRM max log10 map,2D image/matrix,depth pixel y,lateral pixel x,"log10(max(|TRM max|, eps))",Ny x Nx,log10(amplitude),yes,Log-compressed TRM maximum map for dynamic-range reduction.
sample_0000_trm_energy_log.csv,TRM energy log10 map,2D image/matrix,depth pixel y,lateral pixel x,"log10(max(TRM energy, eps))",Ny x Nx,log10(energy),yes,Log-compressed TRM energy map.
sample_0000_refocus_row_norm.csv,TRM max row-normalized map,2D image/matrix,depth pixel y,lateral pixel x,TRM max divided by the maximum of each row,Ny x Nx,dimensionless,yes,Contrast-enhanced TRM map. Useful to reveal lateral defect structure.
sample_0000_trm_energy_row_norm.csv,TRM energy row-normalized map,2D image/matrix,depth pixel y,lateral pixel x,TRM energy divided by the maximum of each row,Ny x Nx,dimensionless,yes,Row-normalized TRM energy representation for ML experiments.
metadata.csv,Sample metadata table,tabular CSV,one row per sample,metadata field name,sample-level parameter or label,Nsamples x Nfields,mixed,supporting metadata,"Global information per sample: defect type, source position, grid, frequency, and geometry."
