experiment_name,experiment_type,num_bands,geometry,tectonic_band_number,band_type,FWI stage,velocity_update_recovery_percent,MAE_inside_band_m_per_s,RMSE_inside_band_m_per_s,detection_efficiency_0_to_1,false_positive_ratio,wrong_sign_ratio_inside_band
6 ideal bands,resolution_limit,6,ideal_horizontal,1,fast band,Stage 1,63.85022,60.97037,63.981133,0.6579438,0.5198866,0.0
6 ideal bands,resolution_limit,6,ideal_horizontal,1,fast band,Stage 2,86.070694,28.063736,32.83704,0.74379385,0.34445864,0.0
6 ideal bands,resolution_limit,6,ideal_horizontal,2,slow band,Stage 1,83.33011,29.851477,37.91581,0.72434735,0.38055313,0.0
6 ideal bands,resolution_limit,6,ideal_horizontal,2,slow band,Stage 2,67.58626,55.384033,60.70991,0.67317915,0.48548862,0.0
6 ideal bands,resolution_limit,6,ideal_horizontal,3,fast band,Stage 1,66.84443,83.880516,86.40704,0.7640414,0.30882952,0.0
6 ideal bands,resolution_limit,6,ideal_horizontal,3,fast band,Stage 2,65.08759,88.62445,92.316734,0.7713543,0.29642105,0.0
6 ideal bands,resolution_limit,6,ideal_horizontal,4,slow band,Stage 1,69.728546,76.583984,80.469986,0.77474695,0.290744,0.0
6 ideal bands,resolution_limit,6,ideal_horizontal,4,slow band,Stage 2,73.90225,66.75826,70.067535,0.78610086,0.27210134,0.0
6 ideal bands,resolution_limit,6,ideal_horizontal,5,fast band,Stage 1,65.801445,115.35887,116.66331,0.81919193,0.2207152,0.0
6 ideal bands,resolution_limit,6,ideal_horizontal,5,fast band,Stage 2,62.901943,125.16718,127.90452,0.82214534,0.21632996,0.0
6 ideal bands,resolution_limit,6,ideal_horizontal,6,slow band,Stage 1,58.771812,139.07074,139.46709,0.7987446,0.25196457,0.0
6 ideal bands,resolution_limit,6,ideal_horizontal,6,slow band,Stage 2,75.71305,82.66583,85.28459,0.845458,0.18279086,0.0
8 ideal bands,resolution_limit,8,ideal_horizontal,1,fast band,Stage 1,65.10591,58.852516,63.34151,0.6845619,0.4607883,0.0
8 ideal bands,resolution_limit,8,ideal_horizontal,1,fast band,Stage 2,55.649315,74.802025,77.00123,0.62731516,0.5940951,0.0
8 ideal bands,resolution_limit,8,ideal_horizontal,2,slow band,Stage 1,53.315945,78.73748,79.70376,0.6332531,0.57914746,0.0
8 ideal bands,resolution_limit,8,ideal_horizontal,2,slow band,Stage 2,73.522194,45.233448,46.65805,0.6773169,0.4764138,0.0
8 ideal bands,resolution_limit,8,ideal_horizontal,3,fast band,Stage 1,57.646973,107.14916,110.25469,0.74791133,0.33705685,0.0
8 ideal bands,resolution_limit,8,ideal_horizontal,3,fast band,Stage 2,58.087402,106.03491,107.37047,0.7326078,0.36498687,0.0
8 ideal bands,resolution_limit,8,ideal_horizontal,4,slow band,Stage 1,59.475464,102.52326,104.45266,0.75186986,0.3300174,0.0
8 ideal bands,resolution_limit,8,ideal_horizontal,4,slow band,Stage 2,71.341446,74.134186,76.464424,0.76057214,0.3147996,0.0
8 ideal bands,resolution_limit,8,ideal_horizontal,5,fast band,Stage 1,48.592617,173.4077,175.4553,0.7719111,0.29548597,0.0
8 ideal bands,resolution_limit,8,ideal_horizontal,5,fast band,Stage 2,58.38975,140.35997,141.29196,0.79228795,0.26216733,0.0
8 ideal bands,resolution_limit,8,ideal_horizontal,6,slow band,Stage 1,56.46335,146.85765,148.32893,0.7985197,0.25231734,0.0
