tectonic_band_number,band_type,FWI stage,Stage description,true_top_depth_inside_silicon_micrometers,true_bottom_depth_inside_silicon_micrometers_exclusive,true_center_depth_inside_silicon_micrometers,true_thickness_micrometers,detected_top_depth_inside_silicon_micrometers,detected_bottom_depth_inside_silicon_micrometers_exclusive,detected_center_depth_inside_silicon_micrometers,detected_thickness_micrometers,top_boundary_shift_micrometers,bottom_boundary_shift_micrometers,center_shift_micrometers,thickness_change_micrometers,thickness_change_percent,top_shift_interpretation,bottom_shift_interpretation,center_shift_interpretation,thickness_interpretation,boundary_detection_threshold_fraction,minimum_active_width_fraction,search_margin_cells,expected_sign_profile_max_m_per_s,experiment_name,experiment_type,num_bands,geometry
1,fast band,Stage 1,20 MHz low-frequency FWI reconstruction,30.000000000000004,45.0,35.00000000000001,15.000000000000002,25.0,55.0,37.5,30.000000000000004,-5.0000000000000036,10.0,2.499999999999993,15.000000000000002,100.0,Reconstructed boundary is shallower than the true boundary.,Reconstructed boundary is deeper than the true boundary.,Reconstructed boundary is deeper than the true boundary.,Reconstructed band is thicker than the true band.,0.5,0.2,10,107.57806,6 ideal bands,resolution_limit,6,ideal_horizontal
1,fast band,Stage 2,85 MHz high-frequency FWI reconstruction initialized from Stage 1,30.000000000000004,45.0,35.00000000000001,15.000000000000002,30.000000000000004,50.0,37.5,20.0,0.0,5.0,2.499999999999993,4.999999999999998,33.33333333333332,Reconstructed boundary matches the true boundary.,Reconstructed boundary is deeper than the true boundary.,Reconstructed boundary is deeper than the true boundary.,Reconstructed band is thicker than the true band.,0.5,0.2,10,148.21135,6 ideal bands,resolution_limit,6,ideal_horizontal
2,slow band,Stage 1,20 MHz low-frequency FWI reconstruction,70.00000000000001,85.0,75.0,15.000000000000002,70.00000000000001,90.0,77.5,20.0,0.0,5.0,2.5,4.999999999999998,33.33333333333332,Reconstructed boundary matches the true boundary.,Reconstructed boundary is deeper than the true boundary.,Reconstructed boundary is deeper than the true boundary.,Reconstructed band is thicker than the true band.,0.5,0.2,10,149.59404,6 ideal bands,resolution_limit,6,ideal_horizontal
2,slow band,Stage 2,85 MHz high-frequency FWI reconstruction initialized from Stage 1,70.00000000000001,85.0,75.0,15.000000000000002,65.00000000000001,95.0,77.5,30.000000000000004,-5.0,10.0,2.5,15.000000000000002,100.0,Reconstructed boundary is shallower than the true boundary.,Reconstructed boundary is deeper than the true boundary.,Reconstructed boundary is deeper than the true boundary.,Reconstructed band is thicker than the true band.,0.5,0.2,10,126.097534,6 ideal bands,resolution_limit,6,ideal_horizontal
3,fast band,Stage 1,20 MHz low-frequency FWI reconstruction,110.0,125.0,115.0,15.000000000000002,100.0,130.00000000000003,112.5,30.000000000000004,-10.0,5.000000000000028,-2.499999999999986,15.000000000000002,100.0,Reconstructed boundary is shallower than the true boundary.,Reconstructed boundary is deeper than the true boundary.,Reconstructed boundary is shallower than the true boundary.,Reconstructed band is thicker than the true band.,0.5,0.2,10,165.73048,6 ideal bands,resolution_limit,6,ideal_horizontal
3,fast band,Stage 2,85 MHz high-frequency FWI reconstruction initialized from Stage 1,110.0,125.0,115.0,15.000000000000002,105.0,130.00000000000003,115.0,25.0,-5.0,5.000000000000028,0.0,9.999999999999998,66.66666666666664,Reconstructed boundary is shallower than the true boundary.,Reconstructed boundary is deeper than the true boundary.,Reconstructed boundary matches the true boundary.,Reconstructed band is thicker than the true band.,0.5,0.2,10,162.03072,6 ideal bands,resolution_limit,6,ideal_horizontal
4,slow band,Stage 1,20 MHz low-frequency FWI reconstruction,150.0,165.00000000000003,155.0,15.000000000000002,145.0,170.0,155.0,25.0,-5.0,4.999999999999972,0.0,9.999999999999998,66.66666666666664,Reconstructed boundary is shallower than the true boundary.,Reconstructed boundary is deeper than the true boundary.,Reconstructed boundary matches the true boundary.,Reconstructed band is thicker than the true band.,0.5,0.2,10,181.94661,6 ideal bands,resolution_limit,6,ideal_horizontal
4,slow band,Stage 2,85 MHz high-frequency FWI reconstruction initialized from Stage 1,150.0,165.00000000000003,155.0,15.000000000000002,145.0,170.0,155.0,25.0,-5.0,4.999999999999972,0.0,9.999999999999998,66.66666666666664,Reconstructed boundary is shallower than the true boundary.,Reconstructed boundary is deeper than the true boundary.,Reconstructed boundary matches the true boundary.,Reconstructed band is thicker than the true band.,0.5,0.2,10,183.60938,6 ideal bands,resolution_limit,6,ideal_horizontal
5,fast band,Stage 1,20 MHz low-frequency FWI reconstruction,190.0,205.00000000000003,195.00000000000003,15.000000000000002,180.0,210.0,192.50000000000003,30.000000000000004,-10.0,4.999999999999972,-2.5,15.000000000000002,100.0,Reconstructed boundary is shallower than the true boundary.,Reconstructed boundary is deeper than the true boundary.,Reconstructed boundary is shallower than the true boundary.,Reconstructed band is thicker than the true band.,0.5,0.2,10,213.78516,6 ideal bands,resolution_limit,6,ideal_horizontal
5,fast band,Stage 2,85 MHz high-frequency FWI reconstruction initialized from Stage 1,190.0,205.00000000000003,195.00000000000003,15.000000000000002,185.00000000000003,210.0,195.00000000000003,25.0,-4.999999999999972,4.999999999999972,0.0,9.999999999999998,66.66666666666664,Reconstructed boundary is shallower than the true boundary.,Reconstructed boundary is deeper than the true boundary.,Reconstructed boundary matches the true boundary.,Reconstructed band is thicker than the true band.,0.5,0.2,10,208.08685,6 ideal bands,resolution_limit,6,ideal_horizontal
6,slow band,Stage 1,20 MHz low-frequency FWI reconstruction,230.0,245.00000000000009,235.00000000000003,15.000000000000002,220.0,255.00000000000003,235.00000000000003,35.00000000000001,-10.0,9.999999999999972,0.0,20.000000000000007,133.33333333333337,Reconstructed boundary is shallower than the true boundary.,Reconstructed boundary is deeper than the true boundary.,Reconstructed boundary matches the true boundary.,Reconstructed band is thicker than the true band.,0.5,0.2,10,186.04297,6 ideal bands,resolution_limit,6,ideal_horizontal
6,slow band,Stage 2,85 MHz high-frequency FWI reconstruction initialized from Stage 1,230.0,245.00000000000009,235.00000000000003,15.000000000000002,225.00000000000003,250.0,235.00000000000003,25.0,-4.999999999999972,4.999999999999943,0.0,9.999999999999998,66.66666666666664,Reconstructed boundary is shallower than the true boundary.,Reconstructed boundary is deeper than the true boundary.,Reconstructed boundary matches the true boundary.,Reconstructed band is thicker than the true band.,0.5,0.2,10,245.32147,6 ideal bands,resolution_limit,6,ideal_horizontal
1,fast band,Stage 1,20 MHz low-frequency FWI reconstruction,25.0,35.00000000000001,27.5,10.0,20.0,85.0,50.0,65.00000000000001,-5.0,49.99999999999999,22.5,55.000000000000014,550.0000000000002,Reconstructed boundary is shallower than the true boundary.,Reconstructed boundary is deeper than the true boundary.,Reconstructed boundary is deeper than the true boundary.,Reconstructed band is thicker than the true band.,0.5,0.2,10,143.36235,8 ideal bands,resolution_limit,8,ideal_horizontal
1,fast band,Stage 2,85 MHz high-frequency FWI reconstruction initialized from Stage 1,25.0,35.00000000000001,27.5,10.0,20.0,85.0,50.0,65.00000000000001,-5.0,49.99999999999999,22.5,55.000000000000014,550.0000000000002,Reconstructed boundary is shallower than the true boundary.,Reconstructed boundary is deeper than the true boundary.,Reconstructed boundary is deeper than the true boundary.,Reconstructed band is thicker than the true band.,0.5,0.2,10,111.73867,8 ideal bands,resolution_limit,8,ideal_horizontal
2,slow band,Stage 1,20 MHz low-frequency FWI reconstruction,55.0,65.00000000000001,57.5,10.0,50.0,115.0,80.0,65.00000000000001,-5.0,49.999999999999986,22.5,55.000000000000014,550.0000000000002,Reconstructed boundary is shallower than the true boundary.,Reconstructed boundary is deeper than the true boundary.,Reconstructed boundary is deeper than the true boundary.,Reconstructed band is thicker than the true band.,0.5,0.2,10,126.622154,8 ideal bands,resolution_limit,8,ideal_horizontal
2,slow band,Stage 2,85 MHz high-frequency FWI reconstruction initialized from Stage 1,55.0,65.00000000000001,57.5,10.0,50.0,115.0,80.0,65.00000000000001,-5.0,49.999999999999986,22.5,55.000000000000014,550.0000000000002,Reconstructed boundary is shallower than the true boundary.,Reconstructed boundary is deeper than the true boundary.,Reconstructed boundary is deeper than the true boundary.,Reconstructed band is thicker than the true band.,0.5,0.2,10,115.559944,8 ideal bands,resolution_limit,8,ideal_horizontal
3,fast band,Stage 1,20 MHz low-frequency FWI reconstruction,85.0,95.0,87.50000000000001,10.0,80.0,145.0,110.0,65.00000000000001,-5.0,50.0,22.499999999999982,55.000000000000014,550.0000000000002,Reconstructed boundary is shallower than the true boundary.,Reconstructed boundary is deeper than the true boundary.,Reconstructed boundary is deeper than the true boundary.,Reconstructed band is thicker than the true band.,0.5,0.2,10,137.85367,8 ideal bands,resolution_limit,8,ideal_horizontal
3,fast band,Stage 2,85 MHz high-frequency FWI reconstruction initialized from Stage 1,85.0,95.0,87.50000000000001,10.0,35.00000000000001,145.0,87.50000000000001,110.0,-49.99999999999999,50.0,0.0,100.0,1000.0,Reconstructed boundary is shallower than the true boundary.,Reconstructed boundary is deeper than the true boundary.,Reconstructed boundary matches the true boundary.,Reconstructed band is thicker than the true band.,0.5,0.2,10,136.54774,8 ideal bands,resolution_limit,8,ideal_horizontal
4,slow band,Stage 1,20 MHz low-frequency FWI reconstruction,115.0,125.0,117.5,10.0,110.0,175.00000000000003,140.00000000000003,65.00000000000001,-5.0,50.00000000000003,22.500000000000018,55.000000000000014,550.0000000000002,Reconstructed boundary is shallower than the true boundary.,Reconstructed boundary is deeper than the true boundary.,Reconstructed boundary is deeper than the true boundary.,Reconstructed band is thicker than the true band.,0.5,0.2,10,147.9109,8 ideal bands,resolution_limit,8,ideal_horizontal
4,slow band,Stage 2,85 MHz high-frequency FWI reconstruction initialized from Stage 1,115.0,125.0,117.5,10.0,110.0,175.00000000000003,140.00000000000003,65.00000000000001,-5.0,50.00000000000003,22.500000000000018,55.000000000000014,550.0000000000002,Reconstructed boundary is shallower than the true boundary.,Reconstructed boundary is deeper than the true boundary.,Reconstructed boundary is deeper than the true boundary.,Reconstructed band is thicker than the true band.,0.5,0.2,10,170.73663,8 ideal bands,resolution_limit,8,ideal_horizontal
5,fast band,Stage 1,20 MHz low-frequency FWI reconstruction,145.0,155.0,147.5,10.0,95.0,205.00000000000003,147.5,110.0,-50.0,50.00000000000003,0.0,100.0,1000.0,Reconstructed boundary is shallower than the true boundary.,Reconstructed boundary is deeper than the true boundary.,Reconstructed boundary matches the true boundary.,Reconstructed band is thicker than the true band.,0.5,0.2,10,160.95909,8 ideal bands,resolution_limit,8,ideal_horizontal
5,fast band,Stage 2,85 MHz high-frequency FWI reconstruction initialized from Stage 1,145.0,155.0,147.5,10.0,140.00000000000003,205.00000000000003,170.0,65.00000000000001,-4.999999999999972,50.00000000000003,22.5,55.000000000000014,550.0000000000002,Reconstructed boundary is shallower than the true boundary.,Reconstructed boundary is deeper than the true boundary.,Reconstructed boundary is deeper than the true boundary.,Reconstructed band is thicker than the true band.,0.5,0.2,10,180.65129,8 ideal bands,resolution_limit,8,ideal_horizontal
6,slow band,Stage 1,20 MHz low-frequency FWI reconstruction,175.00000000000003,185.00000000000003,177.5,10.0,170.0,235.00000000000003,200.0,65.00000000000001,-5.000000000000028,50.0,22.5,55.000000000000014,550.0000000000002,Reconstructed boundary is shallower than the true boundary.,Reconstructed boundary is deeper than the true boundary.,Reconstructed boundary is deeper than the true boundary.,Reconstructed band is thicker than the true band.,0.5,0.2,10,179.22107,8 ideal bands,resolution_limit,8,ideal_horizontal
6,slow band,Stage 2,85 MHz high-frequency FWI reconstruction initialized from Stage 1,175.00000000000003,185.00000000000003,177.5,10.0,125.0,235.00000000000003,177.5,110.0,-50.00000000000003,50.0,0.0,100.0,1000.0,Reconstructed boundary is shallower than the true boundary.,Reconstructed boundary is deeper than the true boundary.,Reconstructed boundary matches the true boundary.,Reconstructed band is thicker than the true band.,0.5,0.2,10,217.99567,8 ideal bands,resolution_limit,8,ideal_horizontal
7,fast band,Stage 1,20 MHz low-frequency FWI reconstruction,205.00000000000003,215.00000000000003,207.50000000000003,10.0,200.0,220.0,207.50000000000003,20.0,-5.000000000000028,4.999999999999972,0.0,10.0,100.0,Reconstructed boundary is shallower than the true boundary.,Reconstructed boundary is deeper than the true boundary.,Reconstructed boundary matches the true boundary.,Reconstructed band is thicker than the true band.,0.5,0.2,10,194.99028,8 ideal bands,resolution_limit,8,ideal_horizontal
7,fast band,Stage 2,85 MHz high-frequency FWI reconstruction initialized from Stage 1,205.00000000000003,215.00000000000003,207.50000000000003,10.0,155.0,220.0,185.00000000000003,65.00000000000001,-50.00000000000003,4.999999999999972,-22.5,55.000000000000014,550.0000000000002,Reconstructed boundary is shallower than the true boundary.,Reconstructed boundary is deeper than the true boundary.,Reconstructed boundary is shallower than the true boundary.,Reconstructed band is thicker than the true band.,0.5,0.2,10,246.63173,8 ideal bands,resolution_limit,8,ideal_horizontal
8,slow band,Stage 1,20 MHz low-frequency FWI reconstruction,235.00000000000003,245.00000000000009,237.50000000000003,10.0,185.00000000000003,255.00000000000003,217.50000000000003,70.00000000000001,-50.0,9.999999999999972,-20.0,60.000000000000014,600.0000000000002,Reconstructed boundary is shallower than the true boundary.,Reconstructed boundary is deeper than the true boundary.,Reconstructed boundary is shallower than the true boundary.,Reconstructed band is thicker than the true band.,0.5,0.2,10,179.39684,8 ideal bands,resolution_limit,8,ideal_horizontal
8,slow band,Stage 2,85 MHz high-frequency FWI reconstruction initialized from Stage 1,235.00000000000003,245.00000000000009,237.50000000000003,10.0,185.00000000000003,250.0,215.00000000000003,65.00000000000001,-50.0,4.999999999999943,-22.5,55.000000000000014,550.0000000000002,Reconstructed boundary is shallower than the true boundary.,Reconstructed boundary is deeper than the true boundary.,Reconstructed boundary is shallower than the true boundary.,Reconstructed band is thicker than the true band.,0.5,0.2,10,252.5576,8 ideal bands,resolution_limit,8,ideal_horizontal
1,fast band,Stage 1,20 MHz low-frequency FWI reconstruction,25.0,35.00000000000001,27.5,10.0,55.0,75.0,62.5,20.0,30.0,39.99999999999999,35.0,10.0,100.0,Reconstructed boundary is deeper than the true boundary.,Reconstructed boundary is deeper than the true boundary.,Reconstructed boundary is deeper than the true boundary.,Reconstructed band is thicker than the true band.,0.5,0.2,10,44.352154,10 ideal bands,resolution_limit,10,ideal_horizontal
