tectonic_band_number,band_type,Stage 1 absolute speed error m/s,Stage 2 absolute speed error m/s,Speed error improvement m/s,Speed improved yes/no,Stage 1 absolute position error micrometers,Stage 2 absolute position error micrometers,Position error improvement micrometers,Position improved yes/no,Stage 1 MAE inside band m/s,Stage 2 MAE inside band m/s,MAE improvement inside band m/s,MAE improved yes/no,Stage 1 RMSE inside band m/s,Stage 2 RMSE inside band m/s,RMSE improvement inside band m/s,RMSE improved yes/no,Stage 1 detection efficiency,Stage 2 detection efficiency,Detection efficiency improvement,Detection efficiency improved yes/no,Stage 1 false positive ratio,Stage 2 false positive ratio,False positive reduction,False positives reduced yes/no,Stage 1 wrong-sign ratio inside band,Stage 2 wrong-sign ratio inside band,Wrong-sign artifact reduction,Wrong-sign artifacts reduced yes/no,experiment_name,experiment_type,num_bands,geometry
1,fast band,60.970703,23.493164,37.47754,yes,3.4587947193958257,1.0123880495507722,2.4464066698450537,yes,60.97037,28.063736,32.906635,yes,63.981133,32.83704,31.144093,yes,0.6579438,0.74379385,0.08585006,yes,0.5198866,0.34445864,0.17542797,yes,0.0,0.0,0.0,no,6 ideal bands,resolution_limit,6,ideal_horizontal
2,slow band,28.115234,54.668945,-26.55371,no,2.22713956070109,1.5707985495851418,0.6563410111159484,yes,29.851477,55.384033,-25.532557,no,37.91581,60.70991,-22.794102,no,0.72434735,0.67317915,-0.051168203,no,0.38055313,0.48548862,-0.1049355,no,0.0,0.0,0.0,no,6 ideal bands,resolution_limit,6,ideal_horizontal
3,fast band,83.88086,88.325195,-4.444336,no,1.4566913678479667,0.0400475346314266,1.41664383321654,yes,83.880516,88.62445,-4.7439346,no,86.40704,92.316734,-5.909691,no,0.7640414,0.7713543,0.007312894,yes,0.30882952,0.29642105,0.012408465,yes,0.0,0.0,0.0,no,6 ideal bands,resolution_limit,6,ideal_horizontal
4,slow band,76.583984,66.02539,10.558594,yes,1.0975782291556158,0.5860062853862048,0.511571943769411,yes,76.583984,66.75826,9.825722,yes,80.469986,70.067535,10.402451,yes,0.77474695,0.78610086,0.01135391,yes,0.290744,0.27210134,0.018642664,yes,0.0,0.0,0.0,no,6 ideal bands,resolution_limit,6,ideal_horizontal
5,fast band,115.359375,125.13867,-9.779297,no,0.490114823517942,0.5177469736472774,-0.0276321501293353,no,115.35887,125.16718,-9.808311,no,116.66331,127.90452,-11.241211,no,0.81919193,0.82214534,0.0029534101,yes,0.2207152,0.21632996,0.004385233,yes,0.0,0.0,0.0,no,6 ideal bands,resolution_limit,6,ideal_horizontal
6,slow band,139.07178,81.92383,57.14795,yes,1.1811781062294813,1.3764571438498765,-0.195279037620395,no,139.07074,82.66583,56.404907,yes,139.46709,85.28459,54.182495,yes,0.7987446,0.845458,0.046713352,yes,0.25196457,0.18279086,0.06917371,yes,0.0,0.0,0.0,no,6 ideal bands,resolution_limit,6,ideal_horizontal
1,fast band,58.853516,74.80176,-15.948242,no,1.6779434400273632,0.7428170918553079,0.9351263481720552,yes,58.852516,74.802025,-15.949509,no,63.34151,77.00123,-13.659718,no,0.6845619,0.62731516,-0.057246745,no,0.4607883,0.5940951,-0.1333068,no,0.0,0.0,0.0,no,8 ideal bands,resolution_limit,8,ideal_horizontal
2,slow band,78.737305,44.657227,34.08008,yes,2.0793682181784594,1.10625090301248,0.9731173151659792,yes,78.73748,45.233448,33.504032,yes,79.70376,46.65805,33.045708,yes,0.6332531,0.6773169,0.044063807,yes,0.57914746,0.4764138,0.10273367,yes,0.0,0.0,0.0,no,8 ideal bands,resolution_limit,8,ideal_horizontal
3,fast band,107.149414,106.03418,1.1152344,yes,1.0769865971036197,0.764709590357775,0.3122770067458447,yes,107.14916,106.03491,1.1142502,yes,110.25469,107.37047,2.884224,yes,0.74791133,0.7326078,-0.015303552,no,0.33705685,0.36498687,-0.027930021,no,0.0,0.0,0.0,no,8 ideal bands,resolution_limit,8,ideal_horizontal
4,slow band,102.52246,72.50293,30.019531,yes,2.3247736138706903,0.5607411221993885,1.7640324916713015,yes,102.52326,74.134186,28.389076,yes,104.45266,76.464424,27.988235,yes,0.75186986,0.76057214,0.008702278,yes,0.3300174,0.3147996,0.015217781,yes,0.0,0.0,0.0,no,8 ideal bands,resolution_limit,8,ideal_horizontal
5,fast band,173.40723,140.36035,33.046875,yes,2.129016154140829,0.1001286462314254,2.028887507909403,yes,173.4077,140.35997,33.04773,yes,175.4553,141.29196,34.163345,yes,0.7719111,0.79228795,0.020376861,yes,0.29548597,0.26216733,0.03331864,yes,0.0,0.0,0.0,no,8 ideal bands,resolution_limit,8,ideal_horizontal
6,slow band,146.85791,99.53955,47.31836,yes,1.215412194124568,0.1363453797019076,1.0790668144226605,yes,146.85765,100.27122,46.586433,yes,148.32893,103.54384,44.785095,yes,0.7985197,0.8134643,0.014944613,yes,0.25231734,0.22931027,0.023007065,yes,0.0,0.0,0.0,no,8 ideal bands,resolution_limit,8,ideal_horizontal
7,fast band,217.94824,155.53125,62.416992,yes,1.4307443261561303,0.1103075872998005,1.3204367388563298,yes,217.94923,155.90428,62.044952,yes,220.88675,156.8289,64.057846,yes,0.8130371,0.8448517,0.031814575,yes,0.22995615,0.1836398,0.046316355,yes,0.0,0.0,0.0,no,8 ideal bands,resolution_limit,8,ideal_horizontal
8,slow band,230.00244,153.68848,76.313965,yes,3.303100287855685,1.4280038046005217,1.8750964832551635,yes,230.00238,153.68805,76.31433,yes,230.69057,155.76149,74.92908,yes,0.79967415,0.83404464,0.034370482,yes,0.25050932,0.19897662,0.0515327,yes,0.0,0.0,0.0,no,8 ideal bands,resolution_limit,8,ideal_horizontal
1,fast band,199.41504,73.8418,125.57324,yes,32.931472568999816,21.657193720492675,11.27427884850714,yes,199.41528,73.84177,125.57352,yes,199.86256,81.69858,118.16399,yes,0.0,0.5492455,0.5492455,yes,,0.8206795454025269,,no,,0.0,,no,10 ideal bands,resolution_limit,10,ideal_horizontal
2,slow band,198.62402,35.765625,162.8584,yes,11.537723819856858,11.793559995941294,-0.2558361760844363,no,198.62383,43.170742,155.45308,yes,198.92552,53.261322,145.6642,yes,0.0026539436,0.6334374,0.63078344,yes,375.7977600097656,0.5786879658699036,375.2190720438957,yes,320.30999755859375,0.0,320.30999755859375,yes,10 ideal bands,resolution_limit,10,ideal_horizontal
3,fast band,253.1914,92.36426,160.82715,yes,6.30468808183192,4.370256991355923,1.9344310904759976,yes,253.1911,92.36385,160.82724,yes,253.68112,95.338646,158.34247,yes,0.31013095,0.68116987,0.3710389,yes,2.2244443893432617,0.468062549829483,1.756381839513779,yes,1.0278315544128418,0.0,1.0278315544128418,yes,10 ideal bands,resolution_limit,10,ideal_horizontal
4,slow band,236.8711,110.265625,126.60547,yes,7.670226618755365,8.180640169941924,-0.5104135511865593,no,236.87056,110.266205,126.604355,yes,237.61671,114.75114,122.86558,yes,0.33918735,0.65100664,0.3118193,yes,1.948223114013672,0.5360826253890991,1.4121404886245728,yes,0.0912619084119796,0.0,0.0912619084119796,yes,10 ideal bands,resolution_limit,10,ideal_horizontal
5,fast band,308.85254,122.83984,186.0127,yes,4.15165662148155,7.70254516563881,-3.55088854415726,no,308.8521,122.839935,186.01218,yes,309.40585,123.5526,185.85326,yes,0.6573764,0.7459943,0.08861792,yes,0.5211985111236572,0.3404928147792816,0.1807056963443756,yes,0.0224627796560525,0.0,0.0224627796560525,yes,10 ideal bands,resolution_limit,10,ideal_horizontal
6,slow band,292.65186,133.93506,158.7168,yes,7.264955948460425,5.924061648249791,1.3408943002106346,yes,292.65125,133.93452,158.71672,yes,292.9542,135.61461,157.33958,yes,0.571575,0.73299736,0.16142237,yes,0.7495517730712891,0.3642614185810089,0.3852903544902801,yes,0.0,0.0,0.0,no,10 ideal bands,resolution_limit,10,ideal_horizontal
7,fast band,376.71777,165.48926,211.22852,yes,5.7892481348915235,4.506655336563128,1.2825927983283956,yes,376.7176,165.4889,211.22868,yes,377.1741,165.81616,211.35794,yes,0.7591716,0.7821169,0.022945285,yes,0.3172251880168915,0.2785812318325043,0.0386439561843872,yes,0.0178857706487178,0.0,0.0178857706487178,yes,10 ideal bands,resolution_limit,10,ideal_horizontal
