tectonic_band_number,band_type,true_velocity_contrast_percent,silicon_background_speed_m_per_s,true_band_speed_m_per_s,true_velocity_update_relative_to_silicon_m_per_s,top_row_index_global,bottom_row_index_global_exclusive,last_included_row_index_global,center_row_index_global,top_depth_inside_silicon_micrometers,bottom_depth_inside_silicon_micrometers_exclusive,center_depth_inside_silicon_micrometers,left_column_index_global,right_column_index_global_exclusive,left_x_inside_silicon_micrometers,right_x_inside_silicon_micrometers_exclusive,band_thickness_cells,band_thickness_micrometers
1,fast band,2.0,8433.0,8601.66,168.65999999999985,47,49,48,47.5,25.0,35.00000000000001,27.5,42,138,0.0,480.00000000000006,2,10.0
2,slow band,-2.0,8433.0,8264.34,-168.65999999999985,52,54,53,52.5,50.0,60.00000000000001,52.5,42,138,0.0,480.00000000000006,2,10.0
3,fast band,3.0,8433.0,8685.99,252.98999999999978,57,59,58,57.5,75.0,85.0,77.5,42,138,0.0,480.00000000000006,2,10.0
4,slow band,-3.0,8433.0,8180.01,-252.98999999999978,62,64,63,62.5,100.0,110.0,102.50000000000001,42,138,0.0,480.00000000000006,2,10.0
5,fast band,4.0,8433.0,8770.32,337.3199999999997,67,69,68,67.5,125.0,135.0,127.50000000000001,42,138,0.0,480.00000000000006,2,10.0
6,slow band,-4.0,8433.0,8095.679999999999,-337.3200000000006,72,74,73,72.5,150.0,160.0,152.50000000000003,42,138,0.0,480.00000000000006,2,10.0
7,fast band,5.0,8433.0,8854.65,421.64999999999964,77,79,78,77.5,175.00000000000003,185.00000000000003,177.5,42,138,0.0,480.00000000000006,2,10.0
8,slow band,-5.0,8433.0,8011.349999999999,-421.65000000000055,82,84,83,82.5,200.0,210.0,202.50000000000003,42,138,0.0,480.00000000000006,2,10.0
9,fast band,6.0,8433.0,8938.98,505.97999999999956,87,89,88,87.5,225.00000000000003,235.00000000000003,227.50000000000003,42,138,0.0,480.00000000000006,2,10.0
10,slow band,-6.0,8433.0,7927.0199999999995,-505.9800000000005,92,94,93,92.5,250.0,260.00000000000006,252.5,42,138,0.0,480.00000000000006,2,10.0
